9.5k-29k 7 Type Tree Farm,_灵启,1.20+,A simple 7 type explosion-based tree farm,Blocks,https://www.bilibili.com/video/BV1bYmcBiELg/,tree.png
1.4k Obsidian Farm,potato_noir,1.21.2+,A simple forced nether portal player mining obsidian farm.,Blocks,https://www.youtube.com/watch?v=_To3Q-WYDZs,https://media.discordapp.net/attachments/1457105374749528179/1502024712535019590/area_render_7_.png?ex=6a304e05&is=6a2efc85&hm=155fb54ea5f19af96502c32ebbbbb1ffce6e0c524d87df78f6093e8be84fa3fb&=&format
11k-14k General Mob Farm,potato_noir,1.21+; 1.12+ (with modifications),"A significant rate increase from Gnembon's classic farm, with very similar build effort.",Overworld_Mobs,https://youtu.be/OKRKQzcq9QQ,https://cdn.discordapp.com/attachments/1313718365709271050/1313718367751901276/area_render_18_.png?ex=6a30cc12&is=6a2f7a92&hm=7f68815dcb0ab1309af8afa2c02dc8c404c88fb450442cbbf700de334c802198&
IanXO4's 135/h Wither Skeleton Farm,ianxo4,1.16+,A simple and efficient wither skeleton farm.,Nether_Mobs,https://www.youtube.com/watch?v=ixGwh1pJb9o,https://media.discordapp.net/attachments/1287818023511527535/1314050074288066611/image.png?ex=6a30af7f&is=6a2f5dff&hm=d6d3c0e77e38b6f8ae5b0eff761a9bc80b27362d3c22c39676737f32a77df4af&=&format=webp&qua
1.28k Shulker Farm,balllight_xy,1.17+,A simple single-dimension shulker farm.,End_Mobs,https://youtu.be/s7JZWGcnHYA,https://cdn.discordapp.com/attachments/1315522702492172300/1362537641685549276/Simplest_Shulker_Farm.png?ex=6a306c10&is=6a2f1a90&hm=71c0f388ea2917293468dced7ce5fe9eb702cf399846759003df696e48cb3a41&
288k Comparator Duper,Undecentions,1.21-26.1.2,An intermediate comparator duper.,Other_Items,,https://media.discordapp.net/attachments/1413793955295920178/1495603288631017572/288k_Comparator_Duper_No_Storage.png?ex=6a30ac9a&is=6a2f5b1a&hm=a5b5f8659cafaf6f0b5258e8d8eebad0efcbdbef789b7b7af9793060c4add654&
